year,jyear,results
1967,昭和42,"・春関東大会　　優勝
　　　　　西　1―0　目黒（不戦勝）　　
　　　　　西　28―0　法政二
　　　　　西　14―0　日大櫻丘
・秋関東大会　　優勝
　　　　　西　40―0　足立　　
　　　　　西　18―0　日大一
　　　　　西　12―12　日大櫻丘（抽選勝）　　
　　　　　西　12―0　法政二（決勝戦）
・全国大会
　１回戦　西　6―12　市立西宮（市立西宮が決勝で関学と対戦し優勝）"
1966,昭和41,"・春関東大会　　優勝（法政二と決勝引き分け）
・秋関東大会　　準優勝
・全国大会　　3位
　１回戦　西　8―0　彦根工業
　２回戦　西　22―6　箕面
　３回戦　西　0―20　関学（関学が決勝で市立西宮と対戦し優勝）"
1965,昭和40,"・全国大会（於：駒沢球技場）
　１回戦　西　6―6　長浜北　（抽選勝ち）
　２回戦　西　6―6　関学　　（抽選負け）　関学優勝"
1964,昭和39,"・秋　関東大会
　　　　　西　6―14　戸山　
　　　　　西　20―6　足立　
　　　　　西　不戦勝　対　烏山工業　
　　　　　西　6―6　慶應
　結果Ｂブロック3位

・全国大会に出場　　1回戦敗退
　１回戦　西　14―22　虎姫"
1963,昭和38,"●小野コーチ就任
・ブロック2位（日大櫻丘の堅陣抜けず、優勝ならず）となり、全国大会出場ならず"
1962,昭和37,"・宿敵戸山を打破、日大櫻丘に負け関東2位
・全国大会出場、準決勝進出
　１回戦　西　8―6　豊中　　　　
　２回戦　西　4―46　市立西宮"
1961,昭和36,"・関東Ａブロック1位となるがＢブロック1位の日大櫻丘に敗れ甲子園ボウル出場を逃す
・全国大会出場3位となる"
1960,昭和35,戦績不明
1959,昭和34,"●伝田・坂井コーチ就任、本格的な活動開始
　初めて夏合宿を行う

・第6回全国高校タッチフットボール大会に出場
　１回戦　西　12―0　豊中
　２回戦　西　2―0 　八幡商
　準決勝　西　0―58　関学"
1958,昭和33,・唯一足立高戦に勝つ（7―0）
1957,昭和32,・春季・秋季とも　全敗
1956,昭和31,"・春季
　遂に1勝、6―0　･･･相手不明"
1955,昭和30,・全敗
1954,昭和29,"・秋公式戦結果
　　　　　西　0―14　日大一
　　　　　西　0―14　戸山
　　　　　西　0―1 　九段（棄権）
　　　　　西　0―54　麻布
　　　　　西　6―20　慶應（シーズン唯一のタッチダウン）

第1回全国高校タッチフットボール大会始まる（藤井寺球場）"
1953,昭和28,"・春季大会
　1回戦　西―慶應　　（西高負け）
・秋季大会
　1回戦　西―麻布　　（西高負け）

・この年度はトーナメント形式であったもよう"
1952,昭和27,"・春公式戦　優勝
　戸山・新宿・九段・麻布・慶應と対戦
・秋公式戦　優勝
　戸山・新宿・九段・麻布・慶應と対戦
（なお、上記6校の他に2部校として早稲田・聖学院・日大櫻丘あり）

・第7回毎日甲子園ボウルに出場、0―47で関学高校に敗れる"
1951,昭和26,"　戦績不明
　慶應・麻布・聖学院・青山・戸山・新宿・（早稲田学院）と対戦"
1950,昭和25,"・春公式戦　全勝優勝　　（慶應と大接戦の末に勝つ）
　麻布・慶應・新宿・九段・青山と対戦
・秋公式戦　4戦4敗
　出場校が少なく、麻布・青山・新宿・九段と対戦"
1949,昭和24,"第3回毎日甲子園ボウルで高校日本一決定戦始まる

・春公式戦　全勝優勝　7戦全勝
　麻布・慶應・新宿・九段・府中農林・青山・聖学院と対戦
・秋公式戦　5勝1敗1分　　（慶應に負け、麻布と引き分け）
　麻布・慶應・新宿・九段・府中農林・青山・聖学院と対戦"
1948,昭和23,"●チーム創部　秋の公式戦出場を目指す
・秋公式戦　2位　4勝1敗（麻布のみに負け）
　麻布・慶應・新宿・九段・府中農林と対戦　"
